Артикул;Наименование;Номенклатура;Баркод;ТМ;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;08-April-2024;Остаток;Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения;Себестоимость;Цена до скидки;Скидка;Цена;Комиссия в рублях;НДС;Налог на прибыль;Налог;Прибыль;Наценка;Процент налога
18802;Адаптер-переходник большой;46897371;7432141949957;SS&Y Group;1;0;3;2;1;2;2;1;0;1;2;0;1;1;1;3;0;0;1;3;1;3;1;1;4;1;2;1;1;2;3;0;2;0;2;4;6;1;1;2;3;1;1;3;3;3;7;3;3;528;Переходники;19;54.0;0.32;350.9;2065.0;80.0;413;90.86;-13.79333333333332;-14.412833333333333;-28.206166666666654;-57.651333333333326;-16.43;-6.829580306698948
18803;Адаптер-переходник большой с HDMI;46897395;7432141949958;SS&Y Group;1;3;0;0;1;1;7;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;3;2;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;3;1;0;2;512;Переходники;19;54.0;0.32;629.77;5843.0;86.0;818;179.95999999999998;-7.621666666666636;-8.848666666666658;-16.470333333333294;-35.394666666666666;-5.62;-2.0134881825590822
18901;Магнитный держатель для телефона на воздуховод, светло-серый;10017545;7432141949963;SS&Y Group;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;2;2;0;0;1;8;0;0;3;1;3;0;0;2;1;3;2;0;3;1;2;2;0;0;Магнитные держатели;17;54.0;0.32;63.76;588.0;75.0;147;29.4;-0.026666666666665506;-0.24716666666666517;-0.2738333333333307;-0.9886666666666588;-1.55;-0.1862811791383202
18902;Магнитный держатель для телефона на воздуховод, черный;10017546;7432141949970;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Магнитные держатели;17;54.0;0.32;63.76;825.0;80.0;165;33.0;2.373333333333333;2.125833333333335;4.499166666666667;8.503333333333341;13.34;2.726767676767677
18903;Магнитный держатель для телефона на воздуховод, золото;10017547;7432141949987;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Магнитные держатели;17;54.0;0.32;63.76;875.0;76.0;210;42.0;8.373333333333333;8.058333333333335;16.43166666666667;32.233333333333334;50.55;7.824603174603175
18904;Магнитный держатель для телефона на панель, светло-серый;10017548;7432141949994;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Магнитные держатели;17;54.0;0.32;63.76;1184.0;76.0;284;56.8;18.240000000000002;17.814;36.054;71.256;111.76;12.695070422535212
18905;Магнитный держатель для телефона на панель, черный;10017549;7432141050003;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Магнитные держатели;17;54.0;0.32;63.76;754.0;72.0;211;42.199999999999996;8.506666666666673;8.190166666666666;16.696833333333338;32.76066666666668;51.38;7.913191153238549
18906;Магнитный держатель для телефона на панель, золото;10017550;7432141050010;SS&Y Group;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Магнитные держатели;17;54.0;0.32;63.76;1184.0;77.0;272;54.400000000000006;16.640000000000008;16.231999999999996;32.872;64.928;101.83;12.085294117647058
19200;Маска для сна 3D, фиолетовый;8440398;7432141550503;REVOLUT;5;3;2;5;0;9;2;3;1;2;1;1;3;3;0;3;0;2;6;1;2;1;0;2;0;0;1;1;1;1;0;1;2;1;1;0;1;2;2;1;2;2;0;1;1;4;6;1;1;2;Маски для сна;23;54.0;0.32;42.7;581.0;64.0;209;54.339999999999996;9.660000000000002;9.346499999999997;19.0065;37.386;87.56;9.09401913875598
19201;Маска для сна 3D, розовый;8440399;7432141550505;REVOLUT;3;3;4;3;4;3;5;1;3;1;5;4;3;3;5;3;4;2;3;1;1;1;0;0;4;2;0;1;5;4;0;2;2;0;3;0;1;0;3;1;1;0;2;0;0;1;2;1;0;0;Маски для сна;23;54.0;0.32;42.7;677.0;69.0;209;54.339999999999996;9.660000000000002;9.346499999999997;19.0065;37.386;87.56;9.09401913875598
19202;Маска для сна 3D, черный;8440400;7432141550507;REVOLUT;10;24;10;6;8;10;5;11;21;13;5;10;17;7;10;6;1;0;0;0;0;0;1;1;1;3;2;1;1;1;3;3;4;2;4;6;2;7;3;3;1;5;2;4;4;3;17;0;2;76;Маски для сна;23;54.0;0.32;42.7;772.0;61.0;301;78.25999999999999;21.006666666666668;20.555166666666665;41.56183333333333;82.22066666666669;192.55;13.807918050941307
19203;Маска для сна 3D, коричневый;8440401;7432141550509;REVOLUT;1;3;3;2;2;4;1;2;1;5;2;3;0;0;0;0;1;4;3;2;8;0;3;3;1;2;2;0;0;4;1;0;0;2;0;1;0;2;1;2;1;1;2;0;4;1;1;1;1;179;Маски для сна;23;54.0;0.32;42.7;609.0;68.0;194;50.44;7.8100000000000005;7.5189999999999975;15.328999999999997;30.076000000000015;70.44;7.901546391752575
19204;Маска для сна 3D, синий;26551625;7432141550504;REVOLUT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Маски для сна;23;54.0;0.32;31.65;606.0;67.0;199;51.74;10.268333333333336;9.969833333333328;20.238166666666665;39.87933333333332;126.0;10.169932998324956
19205;Маска для сна 3D, серый;48964042;7432141550506;REVOLUT;10;6;7;2;2;6;5;5;4;3;4;3;2;5;3;4;5;3;0;1;2;2;3;4;1;2;3;0;2;1;0;4;2;4;1;3;4;2;2;3;3;1;2;4;1;1;1;5;0;131;Маски для сна;23;54.0;0.32;42.7;603.0;67.0;198;51.48;8.303333333333333;8.00633333333333;16.309666666666665;32.02533333333336;75.0;8.237205387205385
19300;Прибор для ультразвуковой чистки лица;8424489;7432141550517;REVOLUT;2;2;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;0;1;0;0;0;0;5;1;0;0;2;0;0;1;0;0;0;0;3;0;0;0;1;0;1;1;0;0;7;1;0;3;283;Инструменты для чистки лица;17;54.0;-0.15999999999999998;1642.63;18100.0;92.0;1448;289.6;-89.70500000000007;-91.87700000000005;-181.5820000000001;-367.50800000000004;-22.37;-12.540193370165754
19301;Аппарат для ультразвуковой чистки лица, черный;25792547;7432141556098;REVOLUT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;Инструменты для чистки лица;17;66.60000000000001;0.08000000000000002;839.87;6989.0;91.0;629;125.8;-67.21166666666667;-68.15516666666666;-135.36683333333332;-272.6206666666667;-32.46;-21.520959194488604
19400;Чехол-конверт для MacBook Air 13, розовый;8455571;7432141550519;SS&Y Group;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;1;1;1;1;0;0;1;1;3;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;Чехлы для ноутбуков;23;54.0;0.32;514.89;6922.0;91.0;622;161.72;-18.10166666666668;-19.034666666666656;-37.13633333333334;-76.13866666666665;-14.79;-5.970471596998929
19401;Чехол-конверт для MacBook Air 13, коричневый;8455572;7432141550521;SS&Y Group;0;1;0;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;2;0;0;0;0;2;1;1;2;2;0;3;0;0;1;1;0;0;3;0;0;1;1;1;2;1;2;0;Чехлы для ноутбуков;23;54.0;0.32;356.66;10250.0;94.0;615;159.9;7.40666666666665;6.4841666666666615;13.890833333333312;25.936666666666657;7.27;2.2586720867208636
19402;Чехол-конверт для MacBook Air 13, черный;8455573;7432141550523;SS&Y Group;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для ноутбуков;23;54.0;0.32;354.0;4244.0;84.0;679;176.54;15.743333333333348;14.724833333333322;30.46816666666667;58.89933333333334;16.64;4.487211585665195
19403;Чехол-конверт для MacBook Air 13, стальной;8455574;7432141550525;SS&Y Group;2;0;0;0;2;0;0;0;0;2;1;1;2;1;2;2;0;1;0;0;3;0;1;2;1;2;2;0;0;0;3;0;0;0;0;0;1;2;1;0;2;1;1;2;1;1;1;0;1;0;Чехлы для ноутбуков;23;54.0;0.32;354.0;7788.0;92.0;623;161.98000000000002;8.836666666666668;7.902166666666656;16.738833333333325;31.608666666666657;8.93;2.6868111289459593
19600;Эспандер ленточный - набор резинок для фитнеса, цветные;8440205;7432141550577;Shark Fit;24;22;16;12;17;12;19;21;22;24;16;24;16;14;15;8;6;10;7;8;7;7;9;7;4;4;3;8;4;3;10;7;4;7;1;2;0;1;0;0;0;0;0;1;1;1;0;0;0;0;Эспандеры;18;54.0;0.32;117.67;3923.0;87.0;509;106.89;38.40666666666668;37.643166666666666;76.04983333333334;150.57266666666666;127.96;14.94102815979044
19601;Эспандер ленточный - набор резинок для фитнеса, розовые;47832841;7432141550582;Shark Fit;18;14;11;10;10;12;11;14;17;21;23;10;19;15;17;20;5;6;10;10;6;8;10;10;14;10;6;11;9;7;9;10;7;5;10;10;10;9;9;9;11;14;11;9;34;37;32;26;16;1056;Эспандеры;18;54.0;0.32;163.09;3000.0;82.0;540;113.4;34.91833333333332;34.10833333333334;69.02666666666667;136.4333333333333;83.66;12.782716049382717
19602;Эспандер ленточный - набор резинок для фитнеса, розово-серые;46401500;7432141550580;Shark Fit;29;27;7;5;15;8;8;9;6;27;22;28;30;14;10;20;15;16;9;13;13;11;11;8;13;13;10;12;12;9;8;1;7;11;11;7;8;7;8;8;19;16;24;25;12;19;9;8;15;678;Эспандеры;18;54.0;0.32;162.68;1719.0;68.0;550;115.5;36.30333333333334;35.47833333333333;71.78166666666667;141.91333333333333;87.23;13.051212121212123
19603;Эспандер ленточный - набор резинок для фитнеса, серые;46401501;7432141550584;Shark Fit;31;21;21;17;19;19;17;19;22;14;21;15;15;16;17;16;10;6;8;17;15;12;15;17;11;13;10;15;12;16;13;10;15;11;19;14;6;26;18;9;19;20;19;7;44;56;35;27;22;328;Эспандеры;18;54.0;0.32;162.03;1295.0;56.0;569;119.49000000000001;38.91333333333334;38.05983333333333;76.97316666666667;152.23933333333335;93.96;13.527797305213827
19800;Спонж 2 шт, розовый;8452303;7432141550589;REVOLUT;55;71;56;59;60;82;70;73;57;67;69;61;74;64;68;43;34;54;60;58;44;46;38;48;40;61;62;46;43;31;36;44;31;31;32;35;31;37;19;22;32;96;94;309;203;160;140;121;96;9697;Спонжи;23;54.0;0.32;48.19;1429.0;93.0;100;26.0;-4.698333333333334;-4.848333333333334;-9.546666666666667;-19.39333333333333;-40.24;-9.546666666666667
19802;Спонж 2 шт, черный ;8452305;7432141550593;REVOLUT;0;3;0;0;0;1;1;1;2;0;1;1;0;2;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Спонжи;23;54.0;0.32;48.09;1650.0;92.0;132;34.32;-0.7350000000000012;-0.9330000000000009;-1.6680000000000021;-3.732000000000002;-7.76;-1.2636363636363652
19803;Спонж 2 шт, желтый;8452306;7432141550595;REVOLUT;2;2;0;1;0;1;1;0;0;0;1;3;0;2;3;0;2;0;3;3;5;8;0;2;1;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Спонжи;23;54.0;0.32;48.09;2460.0;95.0;123;31.98;-1.8450000000000015;-2.0295;-3.8745000000000016;-8.118000000000006;-16.88;-3.1500000000000012
19804;Набор спонжей, 4 шт, черный;82171184;7432141949919;REVOLUT;1;0;0;8;12;14;8;1;0;0;0;0;0;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Спонжи;23;54.0;0.32;91.87;287.0;46.0;154;40.04;-5.318333333333338;-5.549333333333333;-10.867666666666672;-22.197333333333333;-24.16;-7.05692640692641
19805;Набор спонжей, 4 шт, желтый;82171185;7432141949926;REVOLUT;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Спонжи;23;54.0;0.32;93.89;402.0;46.0;217;56.42;2.115000000000002;1.7894999999999979;3.9044999999999996;7.1579999999999995;7.62;1.7993087557603686
19806;Набор спонжей, 4 шт, фиолетовый;82171186;7432141949933;REVOLUT;2;3;6;5;2;1;1;9;1;3;4;1;3;3;3;4;3;6;5;2;5;1;0;1;1;2;0;2;2;1;6;1;1;3;2;0;2;3;2;0;1;0;0;0;0;1;1;0;0;0;Спонжи;23;54.0;0.32;93.89;679.0;66.0;230;59.8;3.718333333333332;3.3733333333333335;7.091666666666665;13.493333333333352;14.37;3.0833333333333326
19807;Набор спонжей, 4 шт, розовый;82171187;7432141550640;REVOLUT;4;3;0;2;3;1;3;1;1;4;2;5;3;4;0;0;2;2;2;2;2;3;1;1;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Спонжи;23;54.0;0.32;93.89;808.0;74.0;210;54.6;1.2516666666666634;0.936666666666668;2.1883333333333312;3.746666666666667;3.99;1.042063492063491
19808;Набор спонжей 3шт, черный;82172097;7432141949920;REVOLUT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Спонжи;23;54.0;0.32;82.19;387.0;69.0;119;30.939999999999998;-8.021666666666665;-8.200166666666666;-16.22183333333333;-32.800666666666665;-39.91;-13.631792717086832
19809;Набор спонжей 3шт, розовый;82172098;7432141949927;REVOLUT;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Спонжи;23;54.0;0.32;85.03;300.0;62.0;114;29.639999999999997;-9.111666666666668;-9.282666666666666;-18.394333333333336;-37.13066666666666;-43.67;-16.135380116959066
19810;Набор спонжей 3шт, желтый;82172099;7432141949934;REVOLUT;0;1;1;0;1;1;1;1;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;1;1;2;0;0;1;0;0;2;1;0;3;0;0;0;0;0;0;0;1;5;10;11;7;12;15;83;Спонжи;23;54.0;0.32;82.19;363.0;60.0;145;37.699999999999996;-4.8149999999999995;-5.032499999999999;-9.847499999999998;-20.129999999999995;-24.49;-6.791379310344827
19811;Набор спонжей 3шт, фиолетовый;82172100;7432141949935;REVOLUT;3;7;3;4;2;1;2;2;4;2;3;2;8;1;1;2;1;1;1;0;0;0;0;1;0;0;2;1;0;2;0;1;3;0;0;0;1;0;0;0;0;3;2;10;26;15;11;16;10;108;Спонжи;23;54.0;0.32;84.99;383.0;60.0;153;39.78;-4.295;-4.524499999999998;-8.819499999999998;-18.098;-21.29;-5.764379084967319
